,Title,Release date,Share of positive reviews (in %),Total number of reviews,Normal price (€),Discounted price if there is a sale (€),Sale rate (in %)
11867,The Settlers® : Rise of an Empire - History Edition,2019-01-22,66,127,11.99,,
11868,Life is Strange: Before the Storm Classic Chloe Outfit Pack,2017-08-31,66,127,0.99,,
11869,The Mims Beginning,2016-05-18,66,126,16.99,,
11870,Beach Bounce,2015-08-14,66,116,8.19,,
11871,Medieval Shopkeeper Simulator,2018-05-11,66,112,9.99,,
11872,Queen's Quest: Tower of Darkness,2015-09-10,66,113,9.99,,
11873,Endless Horde,2017-04-10,66,113,0.79,0.47,41.0
11874,Operation Thunderstorm,2018-07-13,66,110,3.99,,
11875,The Search,2017-04-13,66,110,,,
11876,Mind Games,2016-03-04,66,106,2.99,,
11877,Amerzone: The Explorer’s Legacy,2014-08-22,66,109,4.99,,
11878,VR GirlFriend,2016-12-13,66,109,9.99,,
11879,Sinking Island,2014-12-05,66,107,7.99,,
11880,Xenon Valkyrie,2017-02-03,66,98,9.99,,
11881,World War II: Panzer Claws,2013-09-27,66,95,4.99,,
11882,NB Desktop,2019-05-24,66,95,0.79,0.55,30.0
11883,FSX Steam Edition: Airbus A318/A319 Add-On,2017-03-16,66,87,39.99,,
11884,Demoniaca: Everlasting Night,2019-09-19,66,87,13.99,,
11885,Call Of Unity,2019-05-10,66,89,0.79,,
11886,Dark Hero Party,2020-04-09,66,81,12.49,,
11887,FlyInside Flight Simulator,2018-12-20,66,83,30.99,,
11888,SAS,2018-06-06,66,83,12.49,6.24,50.0
11889,BOOKS,2017-08-23,66,81,0.99,0.64,35.0
11890,3D Ultra™ Minigolf Adventures,2009-07-23,66,77,9.99,,
11891,Gravity Sketch,2017-08-02,66,72,27.99,,
11892,Survivor Squad: Gauntlets,2015-05-01,66,72,4.99,,
11893,Crypt of the Serpent King,2016-12-27,66,71,1.99,,
11894,Traverser,2015-07-09,66,68,14.99,,
11895,Train Simulator: Munich-Augsburg Route Add-On,2012-10-10,66,63,19.99,,
11896,Assassin’s Creed® Rogue - Templar Legacy Pack,2015-03-09,66,63,6.99,,
11897,Arboria,2020-05-07,66,62,16.79,,
11898,TheNightfall,2018-01-12,66,62,22.99,,
11899,"Warhammer 40,000: Mechanicus - Heretek",2019-07-23,66,57,9.99,,
11900,Train Simulator: West Coast Main Line North Route Add-On,2011-12-01,66,59,12.99,,
11901,"Warhammer 40,000: Mechanicus - Heretek",2019-07-23,66,57,9.99,,
11902,Sea Dogs: To Each His Own - Hero of the Nation,2017-12-15,66,56,4.99,,
11903,Car Mechanic Simulator 2018 - Pagani DLC,2018-04-02,66,53,4.99,3.14,37.0
11904,Prototype 2 RADNET Access Pack,,66,51,9.99,,
11905,Borderlands 2: Commando Haggard Hunter Pack,2013-07-02,66,51,0.99,,
11906,Luxor,2008-06-10,66,51,9.99,,
11907,Nancy Drew®: Trail of the Twister,2011-07-25,66,48,5.69,,
11908,Batman™: Arkham Knight - Batman Classic TV Series Batmobile Pack,2015-10-28,66,48,1.99,,
11909,The Last Front,2018-07-11,66,48,0.79,,
11910,Molten Armor,2017-10-20,66,48,9.99,1.99,80.0
11911,Train Simulator: Amtrak Acela Express EMU Add-On,2011-10-13,66,45,8.99,,
11912,Police Quest: SWAT 2,2017-04-18,66,45,5.99,,
11913,Train Simulator: InterCity Class 91 Loco Add-On,2014-02-26,66,45,13.99,,
11914,Theory of Fear,2017-03-28,66,42,4.99,4.49,10.0
11915,Beachhead 2002,2017-05-01,66,39,2.99,,
11916,Evil Maze Horror Forest DLC,2017-03-02,66,39,2.99,1.49,50.0
11917,Arkshot,2016-05-19,66,39,3.99,0.99,75.0
11918,Two Point Hospital: Close Encounters,2019-08-29,66,36,8.99,6.02,33.0
11919,Age of Viking Conquest,2018-09-19,66,36,4.99,,
11920,Civilization V - Cradle of Civilization Map Pack: Asia,2010-11-30,66,36,2.99,,
11921,Last Heroes 3,2016-04-01,66,36,2.39,,
11922,Lift It,2017-01-20,66,33,4.99,0.49,90.0
11923,Train Simulator: Amtrak HHP-8 Loco Add-On,2014-04-10,66,33,8.99,,
11924,YOU DON'T KNOW JACK MOVIES,2013-11-05,66,33,2.99,,
11925,Train Simulator: Norddeutsche-Bahn: Kiel - Lübeck Route Add-On,2019-12-12,66,30,29.99,,
11926,Train Simulator: Münster - Bremen Route Add-On,2019-05-03,66,30,34.99,,
11927,Guess who ?,2018-07-05,66,30,0.79,,
11928,Oriental Empires: Genghis,2018-11-13,66,30,8.19,,
11929,Trollskog,2019-08-19,66,30,9.99,,
11930,Wildlife Camp,2015-11-20,66,30,6.99,,
11931,JiPS,2016-04-19,66,27,2.99,,
11932,Changeover: Decisions,2018-05-18,66,27,1.59,,
11933,Collection - Crusader Kings II: Ultimate Portrait Pack,2017-04-03,66,24,18.99,9.49,50.0
11934,Catify VR,2018-06-28,66,24,3.99,,
11935,Assassin’s Creed® Rogue - Time Saver: Resource Pack,2015-03-09,66,24,1.99,,
11936,Clash of Chefs VR,2018-11-16,66,24,16.79,,
11937,Special Warfare,2018-08-29,66,24,3.99,,
11938,Talisman - The Blood Moon Expansion,2016-08-04,66,21,3.99,2.79,30.0
11939,AT SUNDOWN: Shots in the Dark,2019-01-22,66,21,14.99,4.94,67.0
11940,Pizza Connection,2017-04-05,66,21,5.99,,
11941,My Paper Boat,2015-09-23,66,21,4.99,2.49,50.0
11942,Magicka: Frozen Lake,2011-06-21,66,21,1.99,0.99,50.0
11943,Tempest Citadel,2018-04-17,66,21,16.79,10.07,40.0
11944,ReversiQuest2,2020-01-06,66,21,16.79,,
11945,Slay.one,2018-04-11,66,21,8.19,,
11946,Sorry. (Entschuldigung) ~ A Psychological Horror Visual Novel,2016-12-20,66,21,2.79,,
11947,Epic Battle Simulator 2,2017-11-02,66,21,4.99,,
11948,Quest Rooms,2020-03-11,66,18,16.79,,
11949,Crusader Kings II: Dynasty Shields,2012-02-14,66,18,1.99,0.99,50.0
11950,Hearts of Iron III: Axis Minors Vehicle Pack,2013-07-30,66,18,1.99,0.99,50.0
11951,Train Simulator: GEML BR Class 315 EMU Add-On,2018-08-02,66,18,13.99,,
11952,Hidden Mysteries: Titanic,2016-03-21,66,18,4.99,,
11953,Vaporwave Drift,2019-11-03,66,18,6.59,,
11954,HUNTERS FOR YOUR BRAIN,2019-11-09,66,18,1.59,0.39,75.0
11955,VR2: Vacate 2 Rooms (Virtual Reality Escape),2018-07-16,66,18,4.99,,
11956,Zombie Rush : Extinction,2019-07-02,66,18,1.59,,
11957,Coloring Pixels - Emoji Pack,2018-11-09,66,18,0.79,,
11958,Kane &amp; Lynch 2: Alliance Weapon Pack,2010-08-31,66,18,2.99,,
11959,Magic Tower,2017-12-31,66,18,0.99,,
11960,Talisman - The Dragon Expansion,2017-08-30,66,15,3.99,2.79,30.0
11961,The Myth Seekers 2: The Sunken City,2019-06-13,66,15,14.99,7.49,50.0
11962,Star Conflict: Mercenary Pack - Elite Pilot,2013-02-27,66,15,79.99,,
11963,Crusader Kings II: Military Orders Unit Pack,2013-11-18,66,15,1.99,0.99,50.0
11964,2048,2018-10-31,66,15,4.99,,
11965,The Sims 3 - Movie Stuff,2013-09-10,66,15,19.99,,
11966,Sniper Ghost Warrior 3 - Compound Bow,2017-04-17,66,15,0.99,,
11967,Magicka: The Watchtower,2011-06-21,66,15,1.99,0.99,50.0
11968,Blackstone Academy for the Magical Arts,2020-04-09,66,15,3.99,,
11969,MachineCraft PREMIUM,2016-04-06,66,15,9.99,,
11970,"Beat Saber - Stonebank - ""Stronger (feat. Emel)""",2019-03-14,66,15,1.99,,
11971,Yōdanji,2017-12-06,66,15,4.99,,
11972,Trivia Vault: TV Trivia,2018-05-03,66,15,9.99,,
11973,Blades of Time - Dismal Swamp DLC,2012-04-20,66,15,2.99,,
11974,deer hunter II,2020-01-17,66,15,2.99,,
11975,Idle Earth,2019-01-04,66,15,1.59,,
11976,Trivia Vault: Toy Trivia,2018-05-25,66,15,9.99,,
11977,Zombie Waiting,2017-11-10,66,15,9.99,0.99,90.0
11978,Content Pack - Europa Universalis IV: Dharma,2018-09-06,66,12,7.99,3.99,50.0
11979,DCS: Christen Eagle II,2019-03-05,66,12,28.66,14.33,50.0
11980,LOVE³ -Love Cube- Original Soundtrack,2019-08-02,66,12,8.19,,
11981,Dungeon Defenders - The Tinkerer's Lab Mission Pack,2013-06-26,66,12,1.59,,
11982,CoH 2 - Soviet Commander: Tank Hunter Tactics,2014-09-09,66,12,3.99,,
11983,LOTUS-Simulator Module: Streets of LOTUS,2019-12-23,66,12,39.99,,
11984,Train Simulator: NEC: New York-New Haven Route Add-On,2014-04-10,66,12,22.99,,
11985,Nice Way,2017-12-15,66,12,0.79,0.39,51.0
11986,Family Mysteries: Poisonous Promises,2020-03-26,66,12,14.99,,
11987,Survival: Special Forces Pack DLC,2019-05-17,66,12,8.19,,
11988,KARTOFELKA,2018-01-10,66,12,0.99,,
11989,Slain: Back from Hell - Deluxe Edition DLC,2016-03-24,66,12,6.99,1.74,75.0
11990,GRID Autosport - Road &amp; Track Car Pack,2014-09-02,66,12,2.99,,
11991,Choice of the Ninja,2017-11-17,66,12,3.99,,
11992,Alchemist,2016-12-29,66,12,3.99,,
11993,Pyrax,2020-03-01,66,12,0.79,0.39,51.0
11994,Powelus's Audio Visualizer,2020-02-02,66,12,8.19,,
11995,Sonic Hunter VR,2016-11-22,66,12,2.99,,
11996,Color by Number - Pixel Draw,2018-08-22,66,12,1.59,,
11997,Mint,2017-07-21,66,12,2.39,0.47,80.0
11998,Sniper Ghost Warrior Complete Trilogy,,65,18700,43.32,,
11999,Osiris: New Dawn,2016-09-28,65,9169,22.99,,
12000,Dead or Alive 5 Last Round (Full Game),2015-03-30,65,8200,39.99,,
12001,Life is Feudal: Your Own,2015-11-17,65,7744,19.99,,
12002,Generation Zero - Island Bundle,,65,7246,29.68,,
12003,Generation Zero,2019-03-26,65,7158,24.99,,
12004,Azur Lane Crosswave Complete Deluxe Edition Bundle / コンプリートデラックスエディション / 完全豪華組合包,,65,4762,46.58,,
12005,Dinosaur Hunt,2015-09-17,65,2782,0.99,,
12006,Drift Streets Japan,2015-12-21,65,2499,1.59,,
12007,Bound By Flame,2014-05-08,65,2192,6.99,,
12008,KINGDOMS,2015-10-23,65,1948,9.99,,
12009,Crossroads Inn - Collector's Edition Limited Bundle,,65,1801,24.88,,
12010,Crossroads Inn,2019-10-23,65,1799,19.99,,
12011,Crossroads Inn - Artisan Edition,,65,1802,35.98,,
12012,Cities in Motion 1 and 2 Collection,,65,1705,164.73,64.98,61.0
12013,Earthfall - Deluxe Edition,,65,1351,21.05,,
12014,Earthfall,2018-07-12,65,1331,16.79,,
12015,Manhunt,2008-01-04,65,1116,9.99,,
12016,Still Life Collection,,65,911,14.99,,
12017,DYNASTY WARRIORS 8 Empires,2015-02-26,65,913,49.99,,
12018,Zombie Triple-Pack,,65,886,21.97,9.42,57.0
12019,Tiny Bridge: Ratventure,2015-05-08,65,753,1.99,0.39,80.0
12020,Dragon Spear Collector's Edition,,65,691,16.13,,
12021,Dragon Spear,2018-08-16,65,673,12.49,,
12022,Real Boxing™,2014-07-02,65,647,4.99,,
12023,Strategy First Space Package,,65,650,64.93,30.68,53.0
12024,Sailaway - The Sailing Simulator,2018-02-27,65,596,39.0,,
12025,Zombie Bundle,,65,544,1.04,,
12026,Grass Simulator,2015-04-01,65,514,4.99,,
12027,Kingdom Come: Deliverance – A Woman's Lot,2019-05-28,65,507,11.99,,
12028,Gynophobia,2015-07-31,65,482,1.59,,
12029,NOBUNAGA'S AMBITION: Sphere of Influence - Ascension / 信長の野望･創造 戦国立志伝,2016-03-23,65,478,59.99,,
12030,Wings of Prey,2010-01-08,65,472,9.99,,
12031,Treasure Hunter Simulator,2018-12-06,65,462,13.99,3.49,75.0
12032,Sky Break,2016-10-21,65,438,9.99,,
12033,Warhammer: Vermintide 2 - Collector's Edition Upgrade,2018-03-01,65,362,15.99,,
12034,Dakar 18,2018-09-25,65,323,29.99,,
12035,Port Royale 2,2009-06-16,65,316,3.99,,
12036,American Conquest,2011-08-26,65,287,4.99,,
12037,Monster Hunter: World - Deluxe Kit,2018-08-09,65,279,9.99,,
12038,This War of Mine: Stories - Fading Embers (ep. 3),2019-08-06,65,267,3.99,,
12039,Giant Machines 2017,2016-09-29,65,260,19.99,3.99,80.0
12040,Crest - an indirect god sim,2018-03-08,65,253,9.89,,
12041,Surgeon Simulator: Experience Reality,2016-12-05,65,246,19.99,,
12042,RIP - Trilogy™,2007-06-01,65,224,4.99,,
12043,Escape First,2018-05-10,65,221,4.99,,
12044,New Star Soccer 5,2012-09-27,65,223,7.99,,
12045,Pro Cycling Manager 2014,2014-06-19,65,208,9.99,,
12046,Maximum Override,2017-03-09,65,206,6.99,,
12047,BioShock Infinite: Clash in the Clouds,2013-07-30,65,200,4.49,,
12048,Alien Shooter: Revisited,2009-05-27,65,193,3.99,,
12049,Pro Cycling Manager 2018,2018-06-28,65,194,19.99,,
12050,Bush Hockey League,2017-03-28,65,188,11.99,,
12051,Void And Meddler,2015-10-28,65,198,3.99,,
12052,DICETINY: The Lord of the Dice,2016-07-21,65,192,0.79,,
12053,Sniper Ghost Warrior 3 - Season Pass,2017-04-17,65,185,9.99,3.99,60.0
12054,Melissa K. and the Heart of Gold Collector's Edition,2014-09-19,65,183,8.99,,
12055,Desktop Mascot Engine,2018-05-09,65,180,2.39,,
12056,Time Mysteries 2: The Ancient Spectres,2014-07-31,65,161,7.99,2.39,70.0
12057,Trials of the Blood Dragon,2016-06-13,65,155,14.99,,
12058,V-Rally 4,2018-09-25,65,144,49.99,,
12059,Watchmen: The End is Nigh Part 2,2009-07-29,65,137,4.99,,
12060,Strategy &amp; Tactics: Dark Ages,2017-08-04,65,134,14.99,5.24,65.0
12061,Zombie City Defense 2,2016-08-19,65,132,9.99,,
12062,Prison Architect - Psych Ward: Warden's Edition,2019-11-21,65,126,5.99,4.19,30.0
12063,Apex Construct,2018-03-20,65,115,19.99,,
12064,Mafia III: Season Pass,2016-10-06,65,112,29.99,,
12065,The Experiment: Escape Room,2018-11-22,65,108,3.29,,
12066,SunAge: Battle for Elysium,2014-12-15,65,108,14.99,,
12067,Total War: Shogun 2 - Blood Pack DLC,2011-11-30,65,102,2.99,,
12068,Destiny or Fate,2019-09-05,65,103,6.59,,
12069,"METAL GEAR ONLINE EXPANSION PACK ""CLOAKED IN SILENCE""",2016-03-15,65,97,3.99,,
12070,DCS: NEVADA Test and Training Range Map,2017-08-30,65,87,47.71,23.85,50.0
12071,Alter World,2015-05-29,65,85,1.8,,
12072,Car Mechanic Simulator 2018 - Dodge DLC,2017-07-28,65,86,4.99,2.74,45.0
12073,Pesadelo - Regressão,2016-02-10,65,82,8.99,1.07,88.0
12074,Yet another tower defence,2018-11-01,65,82,1.59,,
12075,Fugue in Void,2018-08-03,65,86,4.99,,
12076,Table Manners: Physics-Based Dating Game,2020-02-14,65,80,16.99,,
12077,Sniper Elite 3 - Target Hitler: Hunt the Grey Wolf,2014-06-27,65,80,9.99,,
12078,Haegemonia: The Solon Heritage,2014-05-01,65,69,4.99,,
12079,Borderlands 2: Assassin Stinging Blade Pack,2013-07-02,65,67,0.99,,
12080,Supreme Ruler The Great War,2017-08-01,65,66,17.99,7.19,60.0
12081,8-Bit Commando,2014-06-02,65,66,3.29,,
12082,Army Men II,2017-12-20,65,64,5.39,,
12083,CAR TUNE: Project,2020-02-20,65,61,8.19,,
12084,GTR - FIA GT Racing Game,2012-09-25,65,61,4.99,,
12085,Lilipalace,2018-07-13,65,61,10.79,,
12086,Mighty Dungeons,2015-03-03,65,61,0.99,,
12087,幻想三國誌5/Fantasia Sango 5,2018-08-14,65,60,24.99,,
12088,Art of Murder - FBI Confidential,2018-07-13,65,58,3.99,,
12089,Sometimes Always Monsters,2020-04-02,65,55,16.79,,
12090,Tyranny - Tales from the Tiers,2017-06-13,65,52,6.99,3.49,50.0
12091,Isle of Skye,2018-07-26,65,52,6.99,,
12092,Borderlands 2 : Assassin Cl0ckw0rk Pack,2013-09-03,65,52,0.99,,
12093,Fernbus Simulator - Austria/Switzerland,2018-04-05,65,47,19.95,13.96,30.0
12094,Boss Crushers,2019-05-15,65,47,12.99,,
12095,Romance of the Three Kingdoms　VII with Power Up Kit / 三國志VII with パワーアップキット,2017-07-25,65,47,19.99,,
12096,Sniper Elite 4 - Camouflage Rifles Skin Pack,2017-02-13,65,46,4.99,,
12097,Train Simulator: Los Angeles Commuter Rail F59PH Loco Add-On,2014-09-18,65,44,9.99,,
12098,ACE COMBAT™ 7: SKIES UNKNOWN - ADFX-01 Morgan Set,2019-07-30,65,44,4.99,,
12099,Starters Orders 7 Horse Racing,2019-05-02,65,43,34.99,,
12100,Train Simulator: Union Pacific Challenger Loco Add-On,2012-11-23,65,41,5.99,,
12101,Black Desert Online - Traveler's Package,2017-05-24,65,41,20.0,,
12102,Trivia Vault: Classic Rock Trivia,2017-08-17,65,43,9.99,,
12103,Dungeon Brewmaster,2018-05-23,65,41,8.19,,
12104,Fruit Arranger,2017-01-23,65,43,0.99,0.48,52.0
12105,Locked Fears,2016-11-04,65,43,0.99,,
12106,Myst IV: Revelation,2018-09-24,65,38,12.49,,
12107,Star Realms - Full Version,2016-03-08,65,40,4.99,,
12108,Tsundere Idol,2018-05-29,65,35,9.99,,
12109,Starport Delta,2020-03-27,65,35,20.99,,
12110,Dracula 4 and  5 - Special Steam Edition,2014-05-29,65,35,,,
12111,The Mystery of Bikini Island,2019-04-24,65,35,0.79,,
12112,Startup Freak,2019-10-18,65,35,9.99,6.69,33.0
12113,Dragon World,2018-12-06,65,32,1.59,,
12114,Styx: Shards of Darkness - The Akenash Set,2017-03-14,65,32,2.99,,
12115,Dishonored - Void Walker Arsenal,2013-05-14,65,32,1.99,,
12116,Genius Greedy Mouse,2016-08-12,65,32,1.59,,
12117,Yakuza Kiwami 2 - Clan Creator Bundle,2019-05-16,65,29,9.99,,
12118,RPG Maker MV - Essentials Set,2015-10-23,65,29,9.99,,
12119,ESSENCE,2017-04-18,65,29,20.0,,
12120,18 Wheels of Steel: Convoy,2016-09-02,65,29,9.99,,
12121,Democracy 3: Social Engineering,2014-02-06,65,29,4.99,,
12122,Evil Maze Game Gallery DLC,2016-07-28,65,29,2.99,1.49,50.0
12123,ROMANCE OF THE THREE KINGDOMS XIV Season Pass,2020-01-15,65,26,29.99,,
12124,Europa Universalis IV: Songs of the New World,2014-01-14,65,26,1.99,0.99,50.0
12125,RPG Maker MV - POP! Horror City,2016-03-25,65,26,14.99,,
12126,CoH 2 - German Commander: Elite Troops Doctrine,2013-11-12,65,26,3.99,,
12127,DOA6 Character: Tamaki,2020-03-09,65,23,7.99,,
12128,House of 1000 Doors: Evil Inside,2019-03-11,65,23,5.69,,
12129,ConflictCraft,2016-12-08,65,23,0.79,0.39,51.0
12130,Royal Merchant,2019-09-11,65,23,8.19,,
12131,Blood Bowl 2 - Wood Elves,2015-11-03,65,23,6.99,,
12132,Vegas Slot,2019-10-18,65,23,0.79,0.39,51.0
12133,Parallels Cross,2016-03-30,65,23,3.29,,
12134,Liquid Pinball,2016-11-24,65,23,0.99,,
12135,Two Point Hospital: Off the Grid,2020-03-25,65,20,8.99,8.09,10.0
12136,Injustice™ 2 - Fighter Pack 3,2017-12-19,65,20,19.99,,
12137,Europa Universalis IV: Trade Nations Unit Pack,2014-05-29,65,20,1.99,0.99,50.0
12138,Pet Chan,2019-12-18,65,20,0.79,,
12139,Epic Roller Coasters Ultimate Fantasy Pack,,65,20,9.52,,
12140,Omae Wa Mou Shindeiru,2018-05-07,65,20,2.39,,
12141,Weable 2,2018-02-05,65,20,1.59,,
12142,DayZ Livonia Edition,,64,194415,48.58,,
12143,DayZ,2018-12-13,64,193839,39.99,,
12144,World War 3,2018-10-19,64,14684,25.0,,
12145,Next Day: Survival,2018-05-21,64,7310,8.99,,
12146,Pixel Piracy,2014-07-31,64,5329,8.19,,
12147,Tree of Life,2017-08-17,64,5224,6.59,,
12148,JUMP FORCE,2019-02-14,64,5161,59.99,,
12149,JUMP FORCE,2019-02-14,64,5161,59.99,,
12150,JUMP FORCE,2019-02-14,64,5161,59.99,,
12151,Azur Lane Crosswave DLC Bundle / コンプリートエディション / 完全組合包,,64,4707,40.65,,
12152,Azur Lane Crosswave Deluxe Edition Bundle / デラックスエディション / 豪華組合包,,64,4698,43.72,,
12153,Azur Lane Crosswave,2020-02-13,64,4644,41.99,,
12154,Dead Realm,2017-05-23,64,3864,14.99,,
12155,NECROPOLIS: BRUTAL EDITION,,64,3444,27.99,6.99,75.0
12156,From Dust,2011-08-17,64,2118,9.99,,
12157,ZOMBI,2015-08-18,64,1769,19.99,,
12158,Killsquad,2019-07-15,64,1657,19.99,,
12159,Omerta - City of Gangsters - GOLD EDITION,2014-03-28,64,1342,24.99,,
12160,Sonic Lost World,2015-11-02,64,1362,29.99,,
12161,Trials® Rising,2019-02-26,64,1274,24.99,,
12162,Thirty Flights of Loving,2012-08-20,64,1077,4.99,,
12163,Operation Flashpoint: Dragon Rising,2009-10-06,64,1139,9.99,,
12164,Re:Legend,2019-08-30,64,863,19.99,,
12165,Sports Legend,2018-10-15,64,798,8.19,,
12166,Kingdom Come: Deliverance – From the Ashes,2018-07-05,64,797,5.99,,
12167,A Hat in Time - Seal the Deal,2018-09-13,64,755,3.99,,
12168,Fade to Silence,2019-04-30,64,753,29.99,,
12169,Street Fighter 30th Anniversary Collection,2018-05-29,64,714,39.99,,
12170,Garden Flipper,2019-05-16,64,473,12.49,9.99,20.0
12171,"Borderlands 3: Guns, Love, and Tentacles",2020-03-26,64,480,14.99,,
12172,Space Hulk: Tactics,2018-10-09,64,374,29.99,,
12173,Kombat Pack,2015-04-14,64,357,9.99,,
12174,A Mortician's Tale,2017-10-18,64,367,8.19,,
12175,Masked Forces,2016-11-23,64,338,0.99,,
12176,Vambrace: Cold Soul,2019-05-28,64,347,24.99,,
12177,Paranormal,2013-09-12,64,331,8.99,,
12178,Omegalodon,2013-09-20,64,298,8.19,,
12179,Kimulator : Fight for your destiny,2016-08-11,64,303,1.99,1.31,34.0
12180,The Fisherman - Fishing Planet,2019-10-17,64,286,49.99,,
12181,Close Combat - Gateway to Caen,2014-06-06,64,293,36.99,,
12182,Full Spectrum Warrior Complete Pack,,64,285,14.99,,
12183,Pro Cycling Manager 2017,2017-06-15,64,258,14.99,,
12184,SurvivalZ Battlegrounds,2019-04-02,64,267,0.79,,
12185,Snooker 19 Gold Edition,,64,252,38.68,,
12186,Evil Tag,2017-04-07,64,248,0.79,,
12187,Alone in the Dark: The New Nightmare,2013-10-29,64,231,6.99,,
12188,TOGETHER VR,2018-04-02,64,204,12.99,,
12189,World of Tanks Blitz - Starter Pack,2019-06-18,64,200,1.59,,
12190,Sorcerer King: Rivals,2016-09-22,64,183,19.99,,
12191,Little Nightmares The Depths DLC,2017-07-06,64,180,3.99,,
12192,You have a drunk friend,2018-11-09,64,184,0.79,,
12193,Total War: ROME II - Daughters of Mars Unit Pack,2014-08-15,64,170,2.99,,
12194,The Warhorn,2019-01-29,64,170,19.99,,
12195,Space Engineers - Frostbite,2020-03-19,64,169,3.29,,
12196,Full Spectrum Warrior,2007-07-17,64,166,6.99,,
12197,Imprisoned Light,2016-10-28,64,167,0.79,,
12198,SurvivalZ,2019-07-26,64,148,0.99,,
12199,Aerofly FS 1 Flight Simulator,2012-10-17,64,145,16.79,,
12200,Romancing SaGa 2™,2017-12-15,64,131,24.99,,
12201,Feral Blue,2019-10-22,64,124,17.99,,
12202,Stay Alive: Apocalypse,2018-01-15,64,117,14.99,,
12203,Cities: Skylines - Downtown Bundle,,64,116,8.98,5.99,33.0
12204,My House,2019-05-27,64,120,0.79,,
12205,Lifeline,2017-03-16,64,111,3.99,,
12206,Illyriad - Grand Strategy MMO,2017-01-11,64,107,3.99,,
12207,To End All Wars,2014-08-29,64,104,36.99,,
12208,Sketch Tales,2015-09-28,64,97,1.0,,
12209,Pathfinder: Kingmaker - Varnhold's Lot,2019-02-28,64,100,8.99,,
12210,Cards of Cthulhu,2016-10-11,64,96,0.79,,
12211,Goblins of Elderstone,2018-01-09,64,90,16.79,,
12212,Song of Memories (Complete Scenario),2018-02-27,64,89,33.99,,
12213,Swords and Sandals 5 Redux: Maximus Edition,2018-01-09,64,84,4.99,,
12214,Just Cause 2: Bull's Eye Assault Rifle,2010-06-22,64,76,0.99,,
12215,Sudden Strike 4 - Road to Dunkirk,2017-10-20,64,75,9.99,3.49,65.0
12216,The Cold War Era Bundle,,64,71,25.54,,
12217,NARUTO TO BORUTO: SHINOBI STRIKER Season Pass,2018-08-30,64,68,29.99,,
12218,Girls Dance,2018-07-28,64,68,1.59,,
12219,Homefront®: The Revolution - Expansion Pass,2016-05-17,64,62,14.99,,
